date,number_of_cases
2020-11-07,4
2020-11-06,302
2020-11-05,1275
2020-11-04,2070
2020-11-03,2062
2020-11-02,2183
2020-11-01,1004
2020-10-31,1055
2020-10-30,1458
2020-10-29,1566
2020-10-28,1553
2020-10-27,1418
2020-10-26,1555
2020-10-25,604
2020-10-24,994
2020-10-23,1204
2020-10-22,1285
2020-10-21,1354
2020-10-20,1233
2020-10-19,1362
2020-10-18,657
2020-10-17,720
2020-10-16,1014
2020-10-15,924
2020-10-14,981
2020-10-13,1017
2020-10-12,950
2020-10-11,488
2020-10-10,536
2020-10-09,784
2020-10-08,754
2020-10-07,797
2020-10-06,826
2020-10-05,797
2020-10-04,367
2020-10-03,434
2020-10-02,659
2020-10-01,608
2020-09-30,654
2020-09-29,628
2020-09-28,650
2020-09-27,263
2020-09-26,393
2020-09-25,553
2020-09-24,549
2020-09-23,639
2020-09-22,629
2020-09-21,682
2020-09-20,299
2020-09-19,342
2020-09-18,543
2020-09-17,649
2020-09-16,735
2020-09-15,763
2020-09-14,871
2020-09-13,231
2020-09-12,355
2020-09-11,529
2020-09-10,631
2020-09-09,596
2020-09-08,708
2020-09-07,146
2020-09-06,189
2020-09-05,205
2020-09-04,421
2020-09-03,515
2020-09-02,594
2020-09-01,686
2020-08-31,738
2020-08-30,236
2020-08-29,272
2020-08-28,553
2020-08-27,583
2020-08-26,757
2020-08-25,576
2020-08-24,776
2020-08-23,257
2020-08-22,334
2020-08-21,505
2020-08-20,518
2020-08-19,826
2020-08-18,605
2020-08-17,641
2020-08-16,263
2020-08-15,480
2020-08-14,654
2020-08-13,679
2020-08-12,735
2020-08-11,978
2020-08-10,920
2020-08-09,353
2020-08-08,532
2020-08-07,976
2020-08-06,929
2020-08-05,978
2020-08-04,1061
2020-08-03,1276
2020-08-02,548
2020-08-01,757
2020-07-31,1189
2020-07-30,1710
2020-07-29,1317
2020-07-28,1641
2020-07-27,1658
2020-07-26,748
2020-07-25,1220
2020-07-24,1830
2020-07-23,1779
2020-07-22,1846
2020-07-21,2094
2020-07-20,2257
2020-07-19,914
2020-07-18,1546
2020-07-17,2604
2020-07-16,2650
2020-07-15,3111
2020-07-14,3488
2020-07-13,3576
2020-07-12,1506
2020-07-11,2114
2020-07-10,3816
2020-07-09,4183
2020-07-08,4584
2020-07-07,4796
2020-07-06,4914
2020-07-05,1898
2020-07-04,1651
2020-07-03,3266
2020-07-02,4924
2020-07-01,5038
2020-06-30,5314
2020-06-29,5450
2020-06-28,2131
2020-06-27,2996
2020-06-26,4718
2020-06-25,4721
2020-06-24,4592
2020-06-23,4309
2020-06-22,4332
2020-06-21,1800
2020-06-20,2533
2020-06-19,3768
2020-06-18,3534
2020-06-17,3316
2020-06-16,2994
2020-06-15,2992
2020-06-14,1088
2020-06-13,1598
2020-06-12,2297
2020-06-11,2082
2020-06-10,2072
2020-06-09,1982
2020-06-08,1898
2020-06-07,730
2020-06-06,868
2020-06-05,1432
2020-06-04,1402
2020-06-03,1342
2020-06-02,1322
2020-06-01,1182
2020-05-31,379
2020-05-30,745
2020-05-29,909
2020-05-28,851
2020-05-27,817
2020-05-26,786
2020-05-25,314
2020-05-24,264
2020-05-23,375
2020-05-22,540
2020-05-21,550
2020-05-20,528
2020-05-19,447
2020-05-18,550
2020-05-17,128
2020-05-16,484
2020-05-15,572
2020-05-14,494
2020-05-13,414
2020-05-12,491
2020-05-11,521
2020-05-10,181
2020-05-09,426
2020-05-08,386
2020-05-07,456
2020-05-06,429
2020-05-05,446
2020-05-04,493
2020-05-03,155
2020-05-02,307
2020-05-01,349
2020-04-30,418
2020-04-29,394
2020-04-28,393
2020-04-27,446
2020-04-26,139
2020-04-25,157
2020-04-24,347
2020-04-23,224
2020-04-22,256
2020-04-21,242
2020-04-20,418
2020-04-19,120
2020-04-18,144
2020-04-17,248
2020-04-16,266
2020-04-15,231
2020-04-14,248
2020-04-13,272
2020-04-12,93
2020-04-11,100
2020-04-10,195
2020-04-09,230
2020-04-08,213
2020-04-07,196
2020-04-06,270
2020-04-05,104
2020-04-04,118
2020-04-03,200
2020-04-02,170
2020-04-01,197
2020-03-31,167
2020-03-30,196
2020-03-29,83
2020-03-28,114
2020-03-27,157
2020-03-26,176
2020-03-25,176
2020-03-24,147
2020-03-23,168
2020-03-22,55
2020-03-21,48
2020-03-20,122
2020-03-19,69
2020-03-18,71
2020-03-17,88
2020-03-16,53
2020-03-15,16
2020-03-14,14
2020-03-13,12
2020-03-12,15
2020-03-11,4
2020-03-10,1
2020-03-09,2
2020-03-06,2
2020-03-05,1
2020-03-04,1
2020-03-03,1
2020-03-02,2
2020-02-29,1
2020-02-27,2
2020-02-25,1
2020-01-27,1
2020-01-22,1
